CrsId,ARCCode,CREDIT TYPE CDE,TRANS YR,TRANS TRM 
272,ELE00,TR,0,TR
273,ELE00,TR,TR  ,TR
274,CSC101,TR,TR  ,TR
275,CSC101,TR,TR  ,TR
276,ELE00,TR,0,TR
277,ELE00,TR,TR  ,TR
278,ELE00,TR,0,TR
279,ELE00,TR,0,TR
280,ECN201,TR,TR  ,TR
281,ECN201,TR,TR  ,TR
282,ELE00,TR,0,TR
283,ELE00,TR,0,TR
284,ELE00,TR,0,TR
285,ELE00,TR,0,TR
286,ELE00,TR,0,TR
287,ELE00,TR,TR  ,TR
288,ELE00,TR,TR  ,TR
289,EDU360,TR,TR  ,TR
290,SED300,TR,TR  ,TR
291,ELE00,TR,TR  ,TR
292,ELE00,TR,TR  ,TR
293,PSY233,TR,TR  ,TR
294,EDU203,TR,TR  ,TR
295,ELE00,TR,TR  ,TR
296,ELE00,TR,TR  ,TR
297,ELE00,TR,TR  ,TR
298,ELE00,TR,0,TR
299,ELE00,TR,0,TR
300,ELE00,TR,0,TR
301,ELE00,TR,0,TR
302,ELE00,TR,0,TR
303,ELE00,TR,0,TR
304,ELE00,TR,0,TR
305,ELE00,TR,0,TR
306,ELE00,TR,0,TR
307,ELE00,TR,0,TR
308,ENG101,TR,TR  ,TR
309,ENG101,TR,TR  ,TR
310,ENG102,TR,TR  ,TR
311,ENG102,TR,TR  ,TR
312,ELE00,TR,TR  ,TR
313,ENG101,TR,TR  ,TR
314,ENG101,TR,TR  ,TR
315,ENG101,TR,TR  ,TR
316,ENG101,TR,TR  ,TR
317,ENG101,TR,TR  ,TR
318,ENG101,TR,TR  ,TR
319,ENG101,TR,TR  ,TR
320,ENG102,TR,TR  ,TR
321,ENG102,TR,TR  ,TR
322,ENG102,TR,TR  ,TR
323,ENG101,TR,TR  ,TR
324,ENG102,TR,TR  ,TR
325,ELE00,TR,TR  ,TR
326,ENG305,TR,TR  ,TR
327,ELE00,TR,TR  ,TR
328,ELE00,TR,0,TR
329,ELE00,TR,0,TR
330,GEP1E,TR,TR  ,TR
331,ELE00,TR,TR  ,TR
332,GEP1E,TR,TR  ,TR
333,HST202,TR,TR  ,TR
334,HST202,TR,TR  ,TR
335,GEP1F,TR,TR  ,TR
336,HST100,TR,TR  ,TR
337,ELE00,TR,0,TR
338,GEP1E,TR,TR  ,TR
339,ELE00,TR,0,TR
340,ELE00,TR,0,TR
341,ELE00,TR,0,TR
342,ELE00,TR,0,TR
343,ELE00,TR,0,TR
344,DES282,TR,TR  ,TR
345,ELE00,TR,TR  ,TR
346,ELE00,TR,0,TR
347,ELE00,TR,0,TR
348,HPE255,TR,TR  ,TR
349,ELE00,TR,TR  ,TR
350,HPE153,TR,TR  ,TR
351,HPE255,TR,TR  ,TR
352,HPE256,TR,TR  ,TR
353,ELE00,TR,0,TR
354,ELE00,TR,0,TR
355,ELE00,TR,0,TR
356,ELE00,TR,0,TR
357,ELE00,TR,0,TR
358,ELE00,TR,TR  ,TR
359,MTH113,TR,TR  ,TR
360,MTH120,TR,TR  ,TR
361,MTH115,TR,TR  ,TR
362,MTH210,TR,TR  ,TR
363,GEP2,TR,TR  ,TR
364,MTH108,TR,TR  ,TR
365,MTH113,TR,TR  ,TR
366,MTH113,TR,TR  ,TR
367,MTH113,TR,TR  ,TR
368,MTH113,TR,TR  ,TR
369,MTH115,TR,TR  ,TR
370,ELE00,TR,TR  ,TR
371,BAD330,TR,TR  ,TR
372,ELE00,TR,0,TR
373,ELE00,TR,TR  ,TR
374,ELE00,TR,TR  ,TR
375,ELE00,TR,TR  ,TR
376,ELE00,TR,0,TR
377,ELE00,TR,TR  ,TR
378,ELE00,TR,TR  ,TR
379,ELE00,TR,TR  ,TR
380,ELE00,TR,TR  ,TR
381,ELE00,TR,TR  ,TR
382,ELE00,TR,0,TR
383,ELE00,TR,0,TR
384,ELE00,TR,0,TR
385,ELE00,TR,0,TR
386,ELE00,TR,0,TR
387,ELE00,TR,0,TR
388,ELE00,TR,0,TR
389,ELE00,TR,0,TR
390,ELE00,TR,0,TR
391,PSY100,TR,TR  ,TR
392,PSY100,TR,TR  ,TR
393,PSY100,TR,TR  ,TR
394,ELE00,TR,0,TR
395,ELE00,TR,0,TR
396,ELE00,TR,0,TR
397,ELE00,TR,0,TR
398,ELE00,TR,0,TR
399,ELE00,TR,0,TR
400,SOC100,TR,TR  ,TR
401,SOC100,TR,TR  ,TR
402,ELE00,TR,0,TR
403,ELE00,TR,0,TR
404,ELE00,TR,TR  ,TR
405,ELE00,TR,0,TR
406,ELE00,TR,0,TR
407,ELE00,TR,0,TR
408,ELE00,TR,0,TR
409,ELE00,TR,0,TR
410,ELE00,TR,0,TR
411,BIO100,TR,TR  ,TR
412,CHM150,TR,TR  ,TR
413,THR120,TR,TR  ,TR
414,ENG101,TR,TR  ,TR
415,ENG102,TR,TR  ,TR
416,ENG305,TR,TR  ,TR
417,HPE180,TR,TR  ,TR
418,HPE195,TR,TR  ,TR
419,HPE255,TR,TR  ,TR
420,ELE00,TR,TR  ,TR
421,HST201,TR,TR  ,TR
422,GEP2,TR,TR  ,TR
423,MTH113,TR,TR  ,TR
424,MUH110,TR,TR  ,TR
425,ELE00,TR,TR  ,TR
426,HPE152,TR,TR  ,TR
427,ELE00,TR,TR  ,TR
428,HPE126,TR,TR  ,TR
429,ELE00,TR,TR  ,TR
430,ELE00,TR,TR  ,TR
431,ELE00,TR,TR  ,TR
432,ECN202,TR,TR  ,TR
433,ENG101,TR,TR  ,TR
434,ENG102,TR,TR  ,TR
435,GEP3,TR,TR  ,TR
436,POL101,TR,TR  ,TR
437,GEP1E,TR,TR  ,TR
438,HPE154,TR,TR  ,TR
439,SOC100,TR,TR  ,TR
440,THR120,TR,TR  ,TR
441,TRAN000,TR,TR  ,TR
442,ELE00,TR,TR  ,TR
443,ELE00,TR,TR  ,TR
444,ELE00,TR,TR  ,TR
445,ELE00,TR,TR  ,TR
446,ELE00,TR,TR  ,TR
447,ELE00,TR,TR  ,TR
448,ELE00,TR,TR  ,TR
449,ELE00,TR,TR  ,TR
450,ELE00,TR,TR  ,TR
451,ELE00,TR,TR  ,TR
