OrgCode,College,TwoOrFourYear
001225,Charles S Mott C C,False
216208,Charles University,False
005079,Charleston Southern Univ,False
002081,Chatham Coll,False
005441,Chattahoochee Tech I,False
001187,Chattahoochee Vly Cc,False
001084,Chattanooga State,False
005107,Chowan College,False
001121,Christian Bros Univ,False
005108,Citadel The,False
004052,City Coll San Frnsco,False
005109,Claflin University,False
006097,Clarendon Coll,False
005110,Clark Atlanta Univ,False
000777,Clark St Cmty Coll,False
005142,Clearwater Christn C,False
005111,Clemson University,False
005140,Cleveland Community College,False
002848,Cleveland State Cc,False
002135,Clinton Cmty Coll Ny,False
005743,Clinton College,False
003733,Cmty Coll Rhode Is,False
005134,Coastal Carolina C C,False
005837,Coastal Carolina Univ,False
**0000,Coastal Georgia Community College,False
004097,Cochise Coll,False
006101,Coe College,False
006102,Coffeyville Cmty C,False
005112,Coker College,False
006129,Colby Community Coll,False
004117,Coll Canyons,False
004085,Coll Desert,False
001983,Coll Lake County,False
002089,Coll Of New Rochelle,False
004071,Coll Of The Sequoias,False
002778,Coll Staten Island,False
005115,Coll William Mary Va,False
005113,College Of Charleston,False
001083,College Of Dupage,False
005144,College of Southern Maryland,False
009976,College of the Ouachitas,False
001951,Collin Co Cmty Coll,False
004659,Colorado Chr Univ,False
004112,Colorado Mt C Glnwds,False
004075,Colorado St Univ,False
004611,Colorado State University-Pueblo,False
004108,Columbia College,False
001135,Columbia College Il,False
005117,Columbia College Sc,False
005116,Columbia Interntl U,False
001081,Columbia St Cmty Col,False
005123,Columbus State University,False
003286,Comm Coll Of Vermont,False
002063,Community College of Baltimore County,False
003408,Community College of Rhode Island,False
**0020,Concord University,False
001094,Concordia College Mi,False
001142,Copiah-Lincoln C C,False
004121,Cosumnes River Coll,False
006120,Cottey College,False
002124,County Coll Morris,False
**COVE,Covenant College,False
006008,Cowley County Cmty C,False
004126,Crafton Hills Coll,False
005148,Craven Cmty Coll,False
006639,Crown College,False
001146,Cumberland Univ,False
005139,Dabney Lancaster Cmty College,False
021002,Dallas College,False
005167,Dalton College,False
001160,Danville Area Cmty C,False
005163,Danville Cmty Coll,False
005026,Darton College,False
001161,David Lipscomb Univ,False
005170,Davidson-Davie Community College,False
005159,Daytona State College,False
005711,Dekalb College,False
002125,Delaware County C C,False
006176,Delgado Cmty Coll,False
001816,Delta College,False
**0027,Demoratic Socialist Republic of Sri Lanka,False
005744,Denmark Tech Coll,False
011673,Dixie Academy,False
004283,Dixie College,False
006169,Drury College,False
002196,Duquesne University,False
002198,Dutchess Cmty Coll,False
005180,East Carolina Univ,False
001196,East Cntrl Cmty Coll,False
005200,East Georgia College,False
001198,East Tenn State Univ,False
005073,Eastern Florida State College,False
001201,Eastern Michigan Unv,False
004299,Eastern Nm Univ Port,False
001200,Eastrn Kentucky Univ,False
005223,Eckerd College,False
**ECPI,ECPI College of Technology-Greenville,False
***023,Edexcel Limited,False
006854,Edge Hill University,False
005191,Edison Cmty Coll,False
001191,Edison State Cmty C,False
001211,Elizabethtown C C,False
005183,Elon University,False
005190,Embry-Riddle Aero Un,False
003367,Emerson College,False
005184,Emmanuel Coll Ga,False
003368,Emmanuel College,False
005187,Emory U,False
003369,Endicott College,False
002213,Erie C C City Camp,False
005188,Erskine College,False
005192,Essex Cmty Coll,False
002237,Essex Co College,False
003810,Estrella Mountain Community College,False
006198,Evangel College,False
002255,Fairlegh Diknsn Ruth,False
002257,Fashion Inst Tech,False
004457,Fashn Inst Dsgn Mrch,False
001034,Faulkner University,False
005212,Fayetteville St Univ,False
005208,Fayetteville Tech Cc,False
002134,Finger Lakes Cc,False
005235,Flagler College,False
005207,Florence-Darlington TechnicalCollege,False
005229,Florida Atlantic Unv,False
005209,Florida Bapt Theo C,False
005377,Florida Gateway College,False
005221,Florida Gulf Coast U,False
005206,Florida Internationl,False
005236,Florida Keys C C,False
005218,Florida Southern Col,False
005232,Florida State College at Jacksonville,False
005219,Florida State Univ,False
005237,Floyd College,False
002259,Fordham University,False
999111,Foreign College,False
005234,Forsyth Tech Cmty Co,False
005220,Fort Valley St Coll,False
000747,Fox Valley Tech Coll,False
005442,Francis Marion Univ - Admissions,False
001229,Franklin University,False
005230,Frederick Cmty Coll,False
001230,Freed-Hardeman Univ,False
006219,Ft Scott Cmty Col,False
005222,Furman University,False
005240,Gallaudet University,False
002270,Gannon University,False
005242,Gardner Webb Univ,False
005262,Gaston College,False
002272,Genesee Cmty Coll,False
002540,Geneseo College,False
001264,Geo C Wallc S Cc Dot,False
005827,George Mason Univers,False
005246,George Washington U,False
001249,Georgetown College,False
005244,Georgetown Univ,False
005252,Georgia College,False
005249,Georgia Military Col,False
002860,Georgia Northwestern TechinalCollege,False
**5711,Georgia Perimeter College,False
005251,Georgia St Univ,False
005253,Georgia Sthrn Univ,False
008660,Germanna Cmty Coll,False
004338,Glendale C C Az,False
**GOET,Goethe Institut,False
005257,Goucher College,False
001252,Grace College,False
006250,Grambling St Univ,False
004331,Grand Canyon Univ,False
001254,Grand Rapids C C,False
006251,Grand View College,False
003418,Green Mountain Coll,False
003420,Greenfield Cmty Coll,False
005278,Greenville Technical College,False
004334,Grossmont Cmty Coll,False
005275,Guilford Tech Cmty C,False
005271,Gulf Coast Cmty Coll,False
006265,Hamline University,False
006268,Hardin-Simmons Univ,False
002309,Harrisburg Area C C,False
004340,Hartnell College,False
003442,Harvard University,False
004352,Hawaii Pacific Univ,False
005289,Haywood Cmty College,False
001361,Heartland Cmty Coll,False
001307,Henderson Cmty Coll,False
001293,Henry Ford Cmty Coll,False
002316,Herkimer Co Cmty Col,False
005293,High Point Univ,False
005304,Hillsborough C C,False
001296,Hinds Cmty College,False
002295,Hofstra University,False
005294,Hollins University,False
001299,Holmes Cmty College,False
003437,Holyoke Cmty College,False
001274,Hopkinsville Cmty C,False
005305,Horry-Georgetown Tech College,False
000929,Houston Cmty College,False
005308,Howard Cmty College,False
006277,Howard College,False
002291,Hudson Co Cmty Coll,False
002300,Hudson Vly Cmty Coll,False
002301,Hunter College,False
001304,Huntington College,False
003440,Husson College,False
001312,Illinois Central C,False
006083,Indian Hills CC Centrv,False
005322,Indian River State College,False
001322,Indiana State Univ,False
002652,Indiana Uni Of Penna,False
001324,Indiana Univ Bloomng,False
001194,Indiana Univ East,False
**0025,Indiana University-Indianapolis,False
000004,Institute for American University,False
**0008,Institute Int’l Educ of Sch,False
**0005,Instituto de Communicacion Oaxaca S.C.,False
005327,Intrnatl Fine Arts C,False
002324,Iona College,False
006195,Iowa Lakes Cc Emmtsb,False
006302,Iowa Wstrn Cc Cnclbl,False
005319,Isothermal Comm College,False
**ITAL,Italiaidea,False
006309,Itasca Cmty Coll,False
001326,Itawamba Cmty Coll,False
002325,Ithaca College,False
***022,Ivy Tech Community College,False
009917,Ivy Tech Community College ofIndiana,False
001311,Ivy Tech St Coll Ind,False
001939,J H Faulkner St Cc,False
005347,J Sargent Reynolds Cmty Coll,False
002266,Jackson St Cmty Clg,False
001736,Jacksonville St Univ,False
005392,James Madison Univ,False
002335,Jamestown Cmty Coll,False
002345,Jefferson Cmty C Ny,False
001352,Jefferson St C C,False
001357,John A Logan College,False
005342,John Tyler Cmty Coll,False
003465,Johnson & Wales Univ,False
003224,Johnson & Wales University,False
003404,Johnson & Wales University N Miami,False
004360,Johnson and Wales University,False
005333,Johnson C Smith Univ,False
001346,Joliet Jr College,False
***024,Jones International University,False
001378,Kalamazoo Valley C C,False
001380,Kankakee Cmty Coll,False
006334,Kansas State Univ,False
*0009,Kaplan University Online,False
***021,Keiser University - MelbourneCampus,False
005359,Kennesaw State University,False
001367,Kent State Univ,False
006341,Kilgore College,False
001373,Knoxville College,False
005973,Kwantlen University College,False
002379,La Roche College,False
006576,Labette Cmty College,False
001391,Lake Erie College,False
005376,Lake- Sumter State College,False
001422,Lakeland Cmty Coll,False
005363,Lander University,False
001414,Lansing Cmty College,False
001398,Lawrence University,False
001933,Lawson St C C,False
001401,Lee University,False
005364,Lees-McRae College,False
002381,Lehigh Carbon Cmty C,False
005378,Lenoir Cmty College,False
005365,Lenoir-Rhyne College,False
003483,Lesley College,False
004384,Lewis & Clark Coll,False
000623,Lewis And Clark Cc,False
005385,Liberty University,False
005366,Limestone College,False
001406,Lincoln College,False
001428,Lincoln Land C C,False
001408,Lincoln Mem Univ,False
006367,Lindenwood College,False
006508,Lone Star College System,False
001417,Lorain Co Cmty Coll,False
005381,Lord Fairfax C C,False
004404,Los Angeles Missin C,False
004398,Los Angeles Pierce C,False
004409,Los Angeles Sw Coll,False
***018,Los Angeles Valley College,False
005369,Louisburg College,False
006373,Louisiana State Un,False
001427,Lourdes College,False
005370,Loyola College,False
006374,Loyola Univ Louisana,False
001521,Macomb Cc Center Cmp,False
001722,Macomb Cc South Cmp,False
005439,Macon College,False
001536,Madison Area Tech C,False
001437,Madonna University,False
***MCC,Maricopa Community College,False
001447,Marion Military Inst,False
005395,Mars Hill University,False
005396,Marshall University,False
006394,Marshalltown C C,False
005397,Mary Baldwin College,False
001452,Marygrove College,False
005399,Maryland Inst C Art,False
002406,Marymount College Ny,False
002405,Marymount Manhattn C,False
001454,Maryville Coll Tn,False
002407,Marywood College,False
000789,McDowell Tech Cmty C,False
000935,McGill University,False
005407,Medical Univ S C,False
001511,Memphis Coll Of Art,False
004517,Mendocino College,False
002444,Mercer Co Cmty Coll,False
005409,Mercer Univ Macon,False
002409,Mercy College,False
005410,Meredith College,False
003525,Merrimack College,False
004513,Mesa Cmty College,False
004484,Mesa State College,False
**0018,Metropolitan Community College,False
001463,Miami Univ Oxford,False
005465,Miami-Dade Comm Coll,False
001465,Michigan State Univ,False
005411,Middle Georgia Coll,False
001466,Middle Tenn St Univ,False
002441,Middlesex Co Coll,False
005584,Midlands Technical College,False
001469,Milligan College,False
006479,Minot State Univ,False
004582,Mira Costa College,False
001742,Miss Delta Comm Coll,False
001480,Mississippi State Un,False
005412,Mitchell Cmty Coll,False
003528,Mitchell College,False
004486,Modesto Jr College,False
000443,Mohave Cmty Coll,False
002414,Mohawk Valley C C,False
002429,Monroe Cmty College,False
002462,Monroe Coll New Roch,False
002463,Monroe College Bronx,False
004488,Montana State Univ,False
002520,Montclair State Univ,False
000785,Montgomery Cmty Coll,False
002445,Montgomery Co C C,False
005440,Montgry Coll Rckvlle,False
005423,Montreat College,False
004512,Moorpark College,False
001524,Moraine Valley C C,False
001487,Morehead St Univ,False
006415,Morningside College,False
005418,Morris College,False
*0008,Moscow State Academy of PE,False
002423,Mount Saint Mary Col,False
005501,N C Wesleyan Coll,False
000850,Nashville State Tech,False
002563,Nassau Cmty College,False
003550,Naugatuck Vly C T C,False
006093,Neosho Co Cmty Coll,False
003657,New England College,False
003649,New Hampshire Coll,False
004531,New Mex St Univ U Pk,False
000461,New Mexico St U Grnt,False
005513,New River Cmty Coll,False
002562,New York University,False
005493,Newberry College,False
002568,Niagara Co Cmty Coll,False
002558,Niagara University,False
006221,Nicholls St Univ,False
000713,Nicolet Area Tech Cl,False
005003,North Car Agr T St U,False
005496,North Carolina St U,False
005507,North Georgia T V Sc,False
005498,North Greenville University,False
006498,North Hennepin C C,False
003883,NorthCentral University,False
006482,Northeast La Univ,False
000453,Northeast State Community College,False
006531,Northeast Texas C C,False
**0NIU,Northeastern Illinois University,False
005095,Northeastern Technical College,False
004365,Northern Virginia Community College,False
001574,Northrn Ky Univ,False
005515,Northrn Virg Cc Anan,False
004541,Northwest College,False
001510,Northwest Florida State College,False
006492,Northwestern State U,False
007101,Northwst Arkansas Cc,False
001562,Northwst Miss C C,False
006488,Northwst Mo St Univ,False
001566,Notre Dame Colleg Oh,False
005514,Nova Southeastern U,False
003652,Nrthwstrn Ct C-Tech,False
002560,Nyack College,False
001585,Oakland City Univ,False
001607,Oakland Comm Coll,False
001497,Oakland University,False
001573,Oakton Cmty College,False
001430,Oglala Lakota Coll,False
005521,Oglethorpe Univ,False
003030,Ohio Christian University,False
001592,Ohio State Univ,False
001593,Ohio University,False
005526,Okaloosa-Walton C C,False
000270,Oklahoma City Cmty C,False
006135,Oklahoma Wesleyan Univ,False
005126,Old Dominion Univ,False
002627,Onondaga Community College,False
**OUA,Open Universities Australia,False
005527,Orangeburg-Calhoun Tech,False
004586,Oregon St Univ,False
004588,Otero Jr College,False
006547,Ottawa University,False
006550,Our Lady Of The Lake,False
005487,Owens Cmty Coll,False
005531,Palm Bch Comm Coll,False
005553,Palm Beach Atl University,False
003730,Palo Alto College,False
004602,Palomar College,False
002179,Paradise Vly Cc Ctr,False
006573,Paris Jr College,False
004604,Pasadena City Coll,False
005562,Pasco-Hernando CC,False
005559,Pasco-Hrnando Cc Npr,False
005549,Patrick Henry Community College,False
005557,Paul D Camp C C,False
002640,Paul Smiths College,False
005533,Peace College,False
000319,Pellissippi St Tec C,False
002660,Penn State Univ,False
005535,Pensacola State College,False
000338,Peralta Community College District,False
005536,Pfeiffer College,False
005537,Piedmont College,False
005518,Piedmont Comm Coll,False
005550,Piedmont Tech Coll,False
005561,Piedmont Virginia Cc,False
004291,Pikes Peak Cc,False
004623,Pima Community Coll,False
005556,Pitt Community Coll,False
001547,Point University,False
005548,Polk Cmty College,False
004617,Portland Cmty Coll,False
004610,Portland St Univ,False
002669,Pratt Institute,False
005540,Presbyterian College,False
**0017,Presbyterian Univ-Mackenzie,False
005545,Prince Georges C C,False
001631,Purdue Univ W Lafyte,False
**PURD,Purdue University,False
005560,Queens Coll Nc,False
003716,Quinebaug Vly Ctc,False
003714,Quinsigamond C C,False
005585,Randolph Cmty Coll,False
005567,Randolph-Macon W Col,False
005590,Rappahannock Cc Glns,False
002867,Raritan Vly Cmty Clg,False
002743,Reading Area C C,False
007324,Redlands Cmty Coll,False
005568,Reinhardt College,False
003724,Rhode Island College,False
001730,Rhodes College,False
006609,Rice University,False
005574,Richard Bland Coll,False
006607,Richland College,False
004657,Ricks College,False
002758,Rider University,False
005573,Ringling Sch Art Des,False
000997,Rio Salado Cmty Coll,False
004658,Riverside Cmty Coll,False
001656,Roane St Cmty Coll,False
005571,Roanoke College,False
002759,Roberts Wesleyan Col,False
002760,Rochester Inst Tech,False
001674,Rock Valley College,False
006611,Rockhurst College,False
005582,Rockingham Cmty Coll,False
***RC,Rockport College,False
002515,Rowan Coll New Jersy,False
005589,Rowan-Cabbarrus Comm College,False
002736,Rutgers U Sch Arts,False
005596,Saint Augustines University,False
**0016,Saint Leo University,False
005607,Salem Coll Nc,False
172682,Salina Area Vocational Tech Sc,False
004864,Salt Lake Cmty Coll,False
006643,Sam Houston St Univ,False
001302,Samford University,False
006645,San Antonio College,False
004681,San Diego City Coll,False
006694,San Jacinto C Centrl,False
006729,San Jacinto C North,False
004706,San Joaquin Delta Cl,False
004732,San Juan College,False
005649,Sandhills Cmty Coll,False
005653,Santa Fe Cmty Coll,False
004692,Santa Rosa Jr Coll,False
005631,Savannah C Art Desgn,False
005618,SC State University,False
***020,Sch of Prof Studies - University Cntr,False
001764,Schoolcraft College,False
006647,Schreiner College,False
004755,Scottsdale Cmty Coll,False
007050,Seastrn Bapt Theol S,False
005662,Seminole Cmty Coll,False
000316,Seminole Junior Coll,False
002811,Seton Hall Univ,False
005613,Shenandoah Univ,False
***019,Sherman College of Chiropractic,False
005616,Shorter Coll Rome,False
004697,Sierra College,False
001720,Sinclair Cmty Coll,False
004066,Soka University of America,False
004930,Solano Cmty College,False
001779,Somerset Cmty Coll,False
004723,Sonoma State Univ,False
005619,South Georgia Colleg,False
004734,South Mountain C C,False
000457,South Piedmont Comm College,False
001727,Southern Adventist University,False
006661,Southern Ar Univ,False
001728,Southern Union State,False
005896,Southern Wesleyan U,False
006656,Southestrn La Univ,False
000770,Southrn Wv Cmty Coll,False
006664,Southwest Baptist Un,False
006703,Southwest State Univ,False
000274,Southwest Tennessee Cmty Cl,False
006669,Southwestern A/G Col,False
005667,Southwestern Comm Co,False
001057,Southwestern Illinois College,False
005659,Southwst Va Cmty Col,False
005668,Spartanburg Community College,False
005627,Spartanburg Methodist College,False
001643,Spoon River College,False
001628,St Clair Co Cmty Col,False
004737,St Johns College Nm,False
005641,St Johns River C C,False
006629,St Louis Univ,False
006637,St Marys University,False
001706,St Norbert College,False
000534,St Paul Tech Coll,False
002806,St Peters College,False
005606,St Petersburg College,False
000496,Stanly Cmty College,False
001688,Stark Tech College,False
005427,State College of Florida-Bradenton,False
005630,Stetson University,False
002827,Suffolk Co Cc Ammrmn,False
003771,Suffolk University,False
002925,Suny Buffalo,False
002524,Suny Clg Ag Tech Cob,False
002542,Suny Coll Oneonta,False
002545,Suny Coll Potsdam,False
002523,Suny Coll Tech Cnton,False
005656,Surry Cmty Coll,False
005634,Sweet Briar College,False
002823,Syracuse University,False
004820,Taft College,False
005794,Tallahassee C C,False
687228,Tampines Junior College,False
006834,Tarrant Co Jr Ftwrth,False
006837,Tarrant County College,False
006845,Tarrant County Jr Coll Nw Cmp,False
005047,Technical College of the Lowcountry,False
002906,Temple University,False
006820,Texas Christian Univ,False
006826,Texas Womans Univ,False
**Amer,The American University of Paris,False
**CHIN,The Chinese Univ of Hong Kong,False
*00016,The College of New Jersey,False
001145,The University of the Cumberlands,False
001876,Thomas More College,False
005793,Thomas Nelson C C,False
006836,Three Rivers C C,False
003558,Three Rvrs Cmty Tech,False
005226,Tidewater Cc Portsmt,False
005032,Tidewater Community College,False
002904,Tompkins-Cortland Cc,False
005789,Tri County Technical College,False
005785,Tri-County Community College,False
001811,Tri-State University,False
005551,Trident Tec C Palmer,False
005049,Trident Tech Coll N,False
004821,Trinidad St Jr Coll,False
006271,Trinity Valley Community College,False
000346,Troy St Univ Dothan,False
001798,Troy St Univ Montgmy,False
001738,Troy State Univ Troy,False
005798,Truett-McConnell College,False
**TUCC,Tulsa Community College,False
003897,Tunxis Community College,False
001812,Tusculum College,False
006870,U Houston Main Cmps*,False
001831,U T At Chattanooga,False
000337,UEES,False
002938,Ulster Co Cmty Coll,False
006878,Un N Dakota Grnd Frk,False
005913,Unc At Greensboro,False
005816,UNC Chapel Hill,False
005105,"UNC-Charlotte, UG Admissions",False
001826,Union University,False
006007,Univ Arkansas Montcl,False
000965,Univ British Columba,False
004835,Univ Calif Santa Bar,False
004860,Univ Calif Santa Crz,False
004836,Univ California Sn D,False
006012,Univ Cntral Arkansas,False
004874,Univ Colo Colo Sprgs,False
004841,Univ Colorado Bouldr,False
004875,Univ Colorado Denver,False
001835,Univ Detroit Mercy,False
005929,Univ Dist Columbia,False
005812,Univ Florida,False
005813,Univ Georgia Athens,False
004867,Univ Hawaii At Manoa,False
001042,Univ Hawaii W Oahu,False
006916,Univ Houston Clr Lke,False
006922,Univ Houston Dwntwn,False
004843,Univ Idaho,False
001851,Univ Il Chicago,False
001836,Univ Illinois Urbana,False
001837,Univ Kentucky Lexngt,False
000970,Univ Laverne Athens,False
003929,Univ Maine Augusta,False
005814,Univ Maryland Col Pk,False
003924,Univ Mass Boston,False
003786,Univ Mass Dartmth,False
003911,Univ Mass Lowell,False
005835,Univ Md Baltimore Co,False
006873,Univ Minn Duluth,False
006874,Univ Minnesota Mpls,False
006872,Univ Missouri Kanscy,False
006889,Univ Missouri Stlous,False
004489,Univ Montana,False
006420,Univ Nebraska Omaha,False
004861,Univ Nevada Lasvegas,False
005490,Univ North Florida,False
006481,Univ North Texas,False
006307,Univ Northern Iowa,False
004074,Univ Nthrn Colorado,False
005419,Univ Of Charleston,False
003915,Univ Of Connecticut,False
001208,Univ Of Evansville,False
004844,Univ Of Nevada Reno,False
004845,Univ Of New Mexico,False
002926,Univ Of Pennsylvania,False
001024,Univ of Phoenix,False
006110,Univ Of Saint Thomas,False
004849,Univ Of San Diego,False
005828,Univ of South Florida,False
001335,Univ of Southern Indiana,False
001479,Univ Of Southern Ms,False
003920,Univ Of Vermont,False
005820,Univ Of Virginia,False
004065,Univ Pacific,False
002940,Univ Pittsbrgh Gnstd,False
002927,Univ Pittsbrgh Pitts,False
004067,Univ Puget Sound,False
005569,Univ Richmond,False
002928,Univ Rochester,False
001880,Univ South Alabama,False
005818,Univ South Carolina,False
003691,Univ Southern Maine,False
001843,Univ Tennessee Knox,False
001844,Univ Tennessee Martn,False
006829,Univ Texas El Paso,False
006919,Univ Texas San Anton,False
000389,Univ Texas Tyler,False
001845,Univ Toledo,False
000982,Univ Toronto,False
004854,Univ Washington,False
005833,Univ West Florida,False
001889,Univ Wisc Fox Valley,False
001859,Univ Wisc Green Bay,False
001846,Univ Wisc Madison,False
001916,Univ Wisc Oshkosh,False
001999,Univ Wisc Waukesha,False
000938,Universidad Americas,False
**025,Universidad de Monterrey,False
**0019,Universidad InterAmericana dePuerto Rico,False
**UMII,Universite Montpellier II,False
***025,University of Belgrano,False
001856,University of Alabama (Birmingham),False
005233,University of Central Florida,False
005013,University of North Carolina Asheville,False
001829,University Of Akron,False
001830,University of Alabama,False
001854,University of Alabama Huntsville,False
004866,University of Alaska (Fairbanks),False
006220,University of Arkansas - FortSmith,False
****UC,University of Cambridge,False
006091,University of Central Oklahoma,False
004842,University Of Denver,False
001120,University of Fine Arts & Design Ganexa,False
006681,University Of Iowa,False
004381,University of La Verne,False
**0411,University of Madras,False
*0001,University of Malaga - Spain,False
**UMCP,University of Maryland College Park,False
**0007,University of Minnesota - Twin Cities,False
001840,University Of Miss,False
**UNCS,University of NC School of the Arts,False
002954,University of North Carolina,False
*0002,University of Salamanca - Spain,False
005819,University Of Tampa,False
$A002,University of the West Indies,False
005900,University of West Georgia,False
001601,University of West Georgia,False
000881,University Stirling,False
004855,University Wyoming,False
000923,Universty Of Glasgow,False
005840,USC Aiken,False
005845,Usc Beaufort,False
005849,Usc Lancaster,False
005847,Usc Salkehatchie,False
005821,Usc Sumter,False
005846,Usc Union,False
005850,USC Upstate,False
004857,Utah St Univ,False
005855,Valdosta St Univ,False
005869,Valencia Cmty Coll,False
001874,Valparaiso Universty,False
001871,Vanderbilt Univ,False
001872,Vandercook Coll Mus,False
01293,Vanguard University,False
001877,Vincennes University,False
005570,Virginia Comm Univer,False
005857,Virginia Intrmt Coll,False
005858,Virginia Miltry Inst,False
005868,Virginia Westrn C C,False
001881,Volunteer St Com Col,False
005863,Voorhees College,False
006933,Voorhess College,False
001000,Voronezh State University,False
005885,Wake Forest Univ,False
005928,Wake Technical Coll,False
000528,Wallace Cc Hncvlle,False
001926,Walsh University,False
001893,Walters St C C,False
005886,Warren Wilson Coll,False
006929,Washington Univ,False
290138,Washoe High School,False
001935,Washtenaw Cmty Coll,False
001938,Waubonsee Cmty Coll,False
001898,Wayne State Univ,False
006931,Weatherford College,False
004941,Weber St Univ,False
002971,Wells College,False
002659,West Chester Univ Pa,False
006938,West Tx A&M Univ,False
004958,West Valley Coll,False
005902,West Virginia Inst T,False
005904,West Virginia Univ,False
001023,Westchester Bus Inst,False
002972,Westchester Cmty Col,False
005897,Western Carolina Unv,False
001901,Western Kentucky Uni,False
002974,Westminster Choir Co,False
004948,Westminster Coll Slc,False
002968,Westmoreland Co C C,False
004945,Westrn Montana Coll,False
004585,Westrn Oregon St Clg,False
006939,Wharton Co Jr Coll,False
001905,Wheaton College,False
003964,Wheelock College,False
004953,Whitworth College,False
002642,Widener University,False
005921,Wilkes Community Col,False
002518,William Patersn C Nj,False
006658,Williams Baptist University,False
005892,Williamsburg Tech C,False
005930,Wilson Tech C C,False
005908,Wingate University,False
005909,Winston-Salem St U,False
005910,Winthrop University,False
001513,Wisc Lutheran Coll,False
001580,Wisconsin Indianhead Technical College,False
005912,Wofford College,False
004955,Woodbury University,False
001613,Wor-Wic Cmty Coll,False
001179,Wright State U Daytn,False
006975,Xavier Univ La,False
001965,Xavier University,False
031229,YORK COUNTY COMMUNITY COLLEGE,False
005989,York Technical College,False
005990,Young Harris Coll,False
