CrsId,ArcCode,CreditType,TYear,TTerm
533,,TR,TR,TR
534,THR120,TR,TR,TR
535,,TR,TR,TR
536,,TR,TR,TR
537,DES286,TR,TR,TR
538,,TR,TR,TR
539,,TR,0,TR
540,,TR,0,TR
541,,TR,0,TR
542,,TR,0,TR
543,ART112,TR,TR,TR
544,ART113,TR,TR,TR
545,,TR,0,TR
546,,TR,TR,TR
547,,TR,0,TR
548,THR120,TR,TR,TR
549,,TR,0,TR
550,ENG101,TR,TR,TR
551,ART201,TR,TR,TR
552,GEP3A,TR,TR,TR
553,,TR,0,TR
554,,TR,0,TR
555,,TR,0,TR
556,,TR,TR,TR
557,ELE00,TR,TR,TR
558,DES282,TR,TR,TR
559,,TR,0,TR
560,ELE00,TR,TR,TR
561,MTH108,TR,TR,TR
562,,TR,0,TR
563,,TR,0,TR
564,,TR,0,TR
565,,TR,0,TR
566,,TR,0,TR
567,,TR,TR,TR
568,,TR,TR,TR
569,GE211,TR,TR,TR
570,ART112,TR,TR,TR
571,,TR,0,TR
572,,TR,TR,TR
573,,TR,TR,TR
574,ART309,TR,TR,TR
575,BIO100,TR,TR,TR
576,CHM150,TR,TR,TR
577,THR120,TR,TR,TR
578,ECN150,TR,TR,TR
579,ART113,TR,TR,TR
580,ART111,TR,TR,TR
581,ELE00,TR,TR,TR
582,ART213,TR,TR,TR
583,ELE00,TR,TR,TR
584,ELE00,TR,TR,TR
585,ELE00,TR,TR,TR
586,ART201,TR,TR,TR
587,CSC101,TR,TR,TR
588,HST201,TR,TR,TR
589,DES381,TR,TR,TR
590,ELE00,TR,TR,TR
591,ELE00,TR,TR,TR
592,PHI315,TR,TR,TR
593,PSY100,TR,TR,TR
594,SOC100,TR,TR,TR
595,ELE00,TR,TR,TR
596,,TR,0,TR
597,,TR,0,TR
598,,TR,0,TR
599,,TR,0,TR
600,,TR,0,TR
601,,TR,0,TR
602,,TR,0,TR
603,,TR,0,TR
604,,TR,0,TR
605,,TR,0,TR
606,,TR,0,TR
607,,TR,0,TR
608,CHM201,TR,TR,TR
609,,TR,0,TR
610,CSC100,TR,TR,TR
611,CSC101,TR,TR,TR
612,,TR,0,TR
613,SOC270,TR,TR,TR
614,,TR,TR,TR
615,,TR,0,TR
616,,TR,0,TR
617,ECN201,TR,TR,TR
618,ECN202,TR,TR,TR
619,,TR,0,TR
620,,TR,0,TR
621,,TR,0,TR
622,,TR,0,TR
623,ENG101,TR,TR,TR
624,,TR,TR,TR
625,,TR,0,TR
626,,TR,0,TR
627,,TR,0,TR
628,,TR,0,TR
629,,TR,0,TR
630,,TR,0,TR
631,GEP1E,TR,TR,TR
632,,TR,TR,TR
633,,TR,0,TR
634,,TR,0,TR
635,,TR,0,TR
636,,TR,0,TR
637,,TR,0,TR
638,MTH113,TR,TR,TR
639,,TR,0,TR
640,MUH110,TR,TR,TR
641,,TR,0,TR
642,HPE153,TR,TR,TR
643,,TR,0,TR
644,,TR,0,TR
645,,TR,0,TR
646,,TR,0,TR
647,PSY100,TR,TR,TR
648,PSY380,TR,TR,TR
649,SOC100,TR,TR,TR
650,,TR,0,TR
651,SOC260,TR,TR,TR
652,SOC0101,TR,TR,TR
653,SOC100,TR,TR,TR
654,,TR,0,TR
655,,TR,0,TR
656,TRANS001,TR,TR,TR
657,,TR,0,TR
658,,TR,0,TR
659,BIO100,TR,TR,TR
660,ENG101,TR,TR,TR
661,HPE255,TR,TR,TR
662,POL303,TR,TR,TR
663,WST200,TR,TR,TR
664,BIO211,TR,TR,TR
665,MTH105,TR,TR,TR
666,PSY100,TR,TR,TR
667,CSC101,TR,TR,TR
668,SOC100,TR,TR,TR
669,THR120,TR,TR,TR
670,,TR,0,TR
671,ENG101,TR,TR,TR
672,GEP2,TR,TR,TR
673,,TR,0,TR
674,PSY100,TR,TR,TR
675,,TR,0,TR
676,,TR,0,TR
677,PSY233,TR,TR,TR
678,,TR,0,TR
679,,TR,0,TR
680,,TR,0,TR
681,,TR,0,TR
682,,TR,0,TR
683,,TR,0,TR
684,,TR,0,TR
685,,TR,0,TR
686,,TR,0,TR
687,,TR,0,TR
688,,TR,0,TR
689,,TR,0,TR
690,,TR,0,TR
691,,TR,0,TR
692,,TR,0,TR
693,,TR,0,TR
694,,TR,0,TR
695,,TR,0,TR
696,,TR,0,TR
697,,TR,0,TR
698,,TR,0,TR
699,,TR,0,TR
700,,TR,0,TR
701,,TR,0,TR
702,,TR,0,TR
703,,TR,0,TR
704,,TR,0,TR
705,,TR,0,TR
706,,TR,0,TR
707,ART100,TR,TR,TR
708,,TR,0,TR
709,,TR,0,TR
710,,TR,0,TR
711,,TR,0,TR
712,,TR,0,TR
713,,TR,0,TR
714,,TR,0,TR
715,,TR,0,TR
716,,TR,0,TR
717,,TR,0,TR
718,,TR,0,TR
719,,TR,0,TR
720,,TR,0,TR
721,,TR,0,TR
722,,TR,0,TR
723,,TR,0,TR
724,,TR,0,TR
725,,TR,0,TR
726,,TR,0,TR
727,,TR,0,TR
728,,TR,0,TR
729,,TR,0,TR
730,,TR,0,TR
731,,TR,0,TR
732,,TR,0,TR
733,,TR,0,TR
734,,TR,0,TR
735,,TR,0,TR
736,,TR,0,TR
737,,TR,0,TR
738,,TR,0,TR
739,,TR,0,TR
740,,TR,0,TR
741,,TR,0,TR
742,,TR,0,TR
